hamlet,id,ranking_meeting,nhhrank,quota_final,maintreatment,elite_meeting
8,765,85,106,57,Full community,0.0
8,770,65,106,57,Full community,0.0
8,773,64,106,57,Full community,0.0
8,801,83,106,57,Full community,0.0
8,820,91,106,57,Full community,0.0
8,823,78,106,57,Full community,0.0
8,840,76,106,57,Full community,0.0
8,845,16,106,57,Full community,0.0
8,883,77,106,57,Full community,0.0
8,890,70,106,57,Full community,0.0
8,893,15,106,57,Full community,0.0
8,918,96,106,57,Full community,0.0
8,920,71,106,57,Full community,0.0
8,924,72,106,57,Full community,0.0
8,926,5,106,57,Full community,0.0
8,927,4,106,57,Full community,0.0
8,936,3,106,57,Full community,0.0
8,945,2,106,57,Full community,0.0
8,947,1,106,57,Full community,0.0
8,954,98,106,57,Full community,0.0
8,955,43,106,57,Full community,0.0
8,966,47,106,57,Full community,0.0
8,979,73,106,57,Full community,0.0
9,18,72,88,49,Full community,1.0
9,39,67,88,49,Full community,1.0
9,41,5,88,49,Full community,1.0
9,68,27,88,49,Full community,1.0
9,79,70,88,49,Full community,1.0
9,91,43,88,49,Full community,1.0
9,123,63,88,49,Full community,1.0
9,142,22,88,49,Full community,1.0
9,161,46,88,49,Full community,1.0
9,166,64,88,49,Full community,1.0
9,169,45,88,49,Full community,1.0
9,217,2,88,49,Full community,1.0
9,235,73,88,49,Full community,1.0
9,249,78,88,49,Full community,1.0
9,255,69,88,49,Full community,1.0
9,256,53,88,49,Full community,1.0
9,259,42,88,49,Full community,1.0
9,262,23,88,49,Full community,1.0
9,263,71,88,49,Full community,1.0
9,267,33,88,49,Full community,1.0
9,273,65,88,49,Full community,1.0
9,297,38,88,49,Full community,1.0
9,303,10,88,49,Full community,1.0
9,311,1,88,49,Full community,1.0
9,318,51,88,49,Full community,1.0
9,332,52,88,49,Full community,1.0
9,339,83,88,49,Full community,1.0
9,341,35,88,49,Full community,1.0
9,358,81,88,49,Full community,1.0
9,361,77,88,49,Full community,1.0
9,365,85,88,49,Full community,1.0
9,372,82,88,49,Full community,1.0
9,395,47,88,49,Full community,1.0
9,397,50,88,49,Full community,1.0
9,423,32,88,49,Full community,1.0
9,438,19,88,49,Full community,1.0
9,460,49,88,49,Full community,1.0
9,471,68,88,49,Full community,1.0
9,497,54,88,49,Full community,1.0
9,512,16,88,49,Full community,1.0
9,515,66,88,49,Full community,1.0
9,521,30,88,49,Full community,1.0
9,556,17,88,49,Full community,1.0
9,566,7,88,49,Full community,1.0
9,568,14,88,49,Full community,1.0
9,577,58,88,49,Full community,1.0
9,581,18,88,49,Full community,1.0
9,614,8,88,49,Full community,1.0
9,619,86,88,49,Full community,1.0
9,625,80,88,49,Full community,1.0
9,635,62,88,49,Full community,1.0
9,637,41,88,49,Full community,1.0
9,641,76,88,49,Full community,1.0
9,642,29,88,49,Full community,1.0
9,643,87,88,49,Full community,1.0
9,644,59,88,49,Full community,1.0
9,645,57,88,49,Full community,1.0
9,656,24,88,49,Full community,1.0
9,657,6,88,49,Full community,1.0
9,660,28,88,49,Full community,1.0
9,664,9,88,49,Full community,1.0
9,666,26,88,49,Full community,1.0
9,684,44,88,49,Full community,1.0
9,703,20,88,49,Full community,1.0
9,717,55,88,49,Full community,1.0
9,719,84,88,49,Full community,1.0
9,721,31,88,49,Full community,1.0
9,722,11,88,49,Full community,1.0
9,730,15,88,49,Full community,1.0
9,731,12,88,49,Full community,1.0
9,752,13,88,49,Full community,1.0
9,765,40,88,49,Full community,1.0
9,774,25,88,49,Full community,1.0
9,777,79,88,49,Full community,1.0
9,807,48,88,49,Full community,1.0
9,837,4,88,49,Full community,1.0
9,843,56,88,49,Full community,1.0
9,850,37,88,49,Full community,1.0
9,865,75,88,49,Full community,1.0
9,868,36,88,49,Full community,1.0
9,871,34,88,49,Full community,1.0
9,928,60,88,49,Full community,1.0
9,935,61,88,49,Full community,1.0
9,937,39,88,49,Full community,1.0
9,957,74,88,49,Full community,1.0
9,961,88,88,49,Full community,1.0
9,969,3,88,49,Full community,1.0
9,991,21,88,49,Full community,1.0
12,5,34,73,35,Full community,0.0
12,63,38,73,35,Full community,0.0
12,66,66,73,35,Full community,0.0
12,68,8,73,35,Full community,0.0
12,72,24,73,35,Full community,0.0
12,97,41,73,35,Full community,0.0
12,99,54,73,35,Full community,0.0
12,111,1,73,35,Full community,0.0
12,131,67,73,35,Full community,0.0
12,155,5,73,35,Full community,0.0
12,177,60,73,35,Full community,0.0
12,189,20,73,35,Full community,0.0
12,213,64,73,35,Full community,0.0
12,216,56,73,35,Full community,0.0
12,235,62,73,35,Full community,0.0
12,243,30,73,35,Full community,0.0
12,251,21,73,35,Full community,0.0
12,285,35,73,35,Full community,0.0
12,296,69,73,35,Full community,0.0
12,315,9,73,35,Full community,0.0
12,318,43,73,35,Full community,0.0
12,328,28,73,35,Full community,0.0
12,351,51,73,35,Full community,0.0
12,380,42,73,35,Full community,0.0
12,385,32,73,35,Full community,0.0
12,387,73,73,35,Full community,0.0
12,388,61,73,35,Full community,0.0
12,391,29,73,35,Full community,0.0
12,403,71,73,35,Full community,0.0
12,423,2,73,35,Full community,0.0
12,450,48,73,35,Full community,0.0
12,466,17,73,35,Full community,0.0
12,495,40,73,35,Full community,0.0
12,520,6,73,35,Full community,0.0
12,561,4,73,35,Full community,0.0
12,565,65,73,35,Full community,0.0
12,572,12,73,35,Full community,0.0
12,575,39,73,35,Full community,0.0
12,577,19,73,35,Full community,0.0
12,595,47,73,35,Full community,0.0
12,656,18,73,35,Full community,0.0
12,661,58,73,35,Full community,0.0
12,674,27,73,35,Full community,0.0
12,723,15,73,35,Full community,0.0
12,728,11,73,35,Full community,0.0
12,735,7,73,35,Full community,0.0
12,747,68,73,35,Full community,0.0
12,774,46,73,35,Full community,0.0
12,776,70,73,35,Full community,0.0
12,782,72,73,35,Full community,0.0
12,785,37,73,35,Full community,0.0
12,796,50,73,35,Full community,0.0
12,801,10,73,35,Full community,0.0
12,807,13,73,35,Full community,0.0
12,822,55,73,35,Full community,0.0
12,831,63,73,35,Full community,0.0
12,832,53,73,35,Full community,0.0
12,840,14,73,35,Full community,0.0
12,852,26,73,35,Full community,0.0
12,877,31,73,35,Full community,0.0
12,886,57,73,35,Full community,0.0
12,905,36,73,35,Full community,0.0
12,914,25,73,35,Full community,0.0
12,932,16,73,35,Full community,0.0
12,943,45,73,35,Full community,0.0
12,944,59,73,35,Full community,0.0
12,950,44,73,35,Full community,0.0
12,953,22,73,35,Full community,0.0
12,963,23,73,35,Full community,0.0
12,964,3,73,35,Full community,0.0
12,986,49,73,35,Full community,0.0
12,988,52,73,35,Full community,0.0
12,998,33,73,35,Full community,0.0
17,1,134,135,110,Full community,0.0
17,9,15,135,110,Full community,0.0
17,15,67,135,110,Full community,0.0
17,17,9,135,110,Full community,0.0
17,31,93,135,110,Full community,0.0
17,33,130,135,110,Full community,0.0
17,39,43,135,110,Full community,0.0
17,53,33,135,110,Full community,0.0
17,56,133,135,110,Full community,0.0
17,61,13,135,110,Full community,0.0
17,64,23,135,110,Full community,0.0
17,65,6,135,110,Full community,0.0
17,71,132,135,110,Full community,0.0
17,85,115,135,110,Full community,0.0
17,86,16,135,110,Full community,0.0
17,92,11,135,110,Full community,0.0
17,98,4,135,110,Full community,0.0
17,99,104,135,110,Full community,0.0
17,113,5,135,110,Full community,0.0
17,117,14,135,110,Full community,0.0
17,140,114,135,110,Full community,0.0
17,144,10,135,110,Full community,0.0
17,151,121,135,110,Full community,0.0
17,161,32,135,110,Full community,0.0
17,171,61,135,110,Full community,0.0
17,178,92,135,110,Full community,0.0
17,179,124,135,110,Full community,0.0
17,185,107,135,110,Full community,0.0
17,187,25,135,110,Full community,0.0
17,189,39,135,110,Full community,0.0
17,194,44,135,110,Full community,0.0
17,218,72,135,110,Full community,0.0
17,221,21,135,110,Full community,0.0
17,229,117,135,110,Full community,0.0
17,237,96,135,110,Full community,0.0
17,248,128,135,110,Full community,0.0
17,271,35,135,110,Full community,0.0
17,276,131,135,110,Full community,0.0
17,281,123,135,110,Full community,0.0
17,307,2,135,110,Full community,0.0
17,311,42,135,110,Full community,0.0
17,314,98,135,110,Full community,0.0
17,325,135,135,110,Full community,0.0
17,327,97,135,110,Full community,0.0
17,328,120,135,110,Full community,0.0
17,344,118,135,110,Full community,0.0
17,347,106,135,110,Full community,0.0
17,361,127,135,110,Full community,0.0
17,367,109,135,110,Full community,0.0
17,377,108,135,110,Full community,0.0
17,392,66,135,110,Full community,0.0
17,393,81,135,110,Full community,0.0
17,404,94,135,110,Full community,0.0
17,406,122,135,110,Full community,0.0
17,408,65,135,110,Full community,0.0
17,411,18,135,110,Full community,0.0
17,429,64,135,110,Full community,0.0
17,460,63,135,110,Full community,0.0
17,463,91,135,110,Full community,0.0
17,472,36,135,110,Full community,0.0
17,481,75,135,110,Full community,0.0
17,483,7,135,110,Full community,0.0
17,486,59,135,110,Full community,0.0
17,488,80,135,110,Full community,0.0
17,493,24,135,110,Full community,0.0
17,497,119,135,110,Full community,0.0
17,498,83,135,110,Full community,0.0
17,517,89,135,110,Full community,0.0
17,519,47,135,110,Full community,0.0
17,525,95,135,110,Full community,0.0
17,548,1,135,110,Full community,0.0
17,551,22,135,110,Full community,0.0
17,554,17,135,110,Full community,0.0
17,571,30,135,110,Full community,0.0
17,585,34,135,110,Full community,0.0
17,589,37,135,110,Full community,0.0
17,595,60,135,110,Full community,0.0
17,601,38,135,110,Full community,0.0
17,605,55,135,110,Full community,0.0
17,624,99,135,110,Full community,0.0
17,625,110,135,110,Full community,0.0
17,631,41,135,110,Full community,0.0
17,633,77,135,110,Full community,0.0
17,638,76,135,110,Full community,0.0
17,652,74,135,110,Full community,0.0
17,658,3,135,110,Full community,0.0
17,660,73,135,110,Full community,0.0
17,666,62,135,110,Full community,0.0
17,668,58,135,110,Full community,0.0
17,672,126,135,110,Full community,0.0
17,684,84,135,110,Full community,0.0
17,696,87,135,110,Full community,0.0
17,704,82,135,110,Full community,0.0
17,709,116,135,110,Full community,0.0
17,710,79,135,110,Full community,0.0
17,716,105,135,110,Full community,0.0
17,718,29,135,110,Full community,0.0
17,724,129,135,110,Full community,0.0
17,726,57,135,110,Full community,0.0
17,732,90,135,110,Full community,0.0
17,735,70,135,110,Full community,0.0
17,745,45,135,110,Full community,0.0
17,749,54,135,110,Full community,0.0
17,750,88,135,110,Full community,0.0
17,751,113,135,110,Full community,0.0
17,753,85,135,110,Full community,0.0
17,754,20,135,110,Full community,0.0
17,756,71,135,110,Full community,0.0
17,763,52,135,110,Full community,0.0
17,772,78,135,110,Full community,0.0
17,774,26,135,110,Full community,0.0
17,780,51,135,110,Full community,0.0
17,813,53,135,110,Full community,0.0
17,833,102,135,110,Full community,0.0
17,834,101,135,110,Full community,0.0
17,836,100,135,110,Full community,0.0
17,840,86,135,110,Full community,0.0
17,842,27,135,110,Full community,0.0
17,853,28,135,110,Full community,0.0
17,855,112,135,110,Full community,0.0
17,874,111,135,110,Full community,0.0
17,878,12,135,110,Full community,0.0
17,891,46,135,110,Full community,0.0
17,912,48,135,110,Full community,0.0
17,916,125,135,110,Full community,0.0
17,922,31,135,110,Full community,0.0
17,928,103,135,110,Full community,0.0
17,932,56,135,110,Full community,0.0
17,943,8,135,110,Full community,0.0
17,945,19,135,110,Full community,0.0
17,947,50,135,110,Full community,0.0
17,959,40,135,110,Full community,0.0
17,964,69,135,110,Full community,0.0
17,967,68,135,110,Full community,0.0
17,989,49,135,110,Full community,0.0
19,37,6,79,63,Full community,1.0
19,43,24,79,63,Full community,1.0
19,53,21,79,63,Full community,1.0
19,55,25,79,63,Full community,1.0
19,66,19,79,63,Full community,1.0
19,88,18,79,63,Full community,1.0
19,93,16,79,63,Full community,1.0
19,112,10,79,63,Full community,1.0
19,126,15,79,63,Full community,1.0
19,142,46,79,63,Full community,1.0
19,157,53,79,63,Full community,1.0
19,160,43,79,63,Full community,1.0
19,189,75,79,63,Full community,1.0
19,194,76,79,63,Full community,1.0
19,200,13,79,63,Full community,1.0
19,204,3,79,63,Full community,1.0
19,224,49,79,63,Full community,1.0
19,251,14,79,63,Full community,1.0
19,254,52,79,63,Full community,1.0
19,264,63,79,63,Full community,1.0
19,268,74,79,63,Full community,1.0
19,282,42,79,63,Full community,1.0
19,285,59,79,63,Full community,1.0
19,286,66,79,63,Full community,1.0
19,295,35,79,63,Full community,1.0
19,304,47,79,63,Full community,1.0
19,314,38,79,63,Full community,1.0
19,318,72,79,63,Full community,1.0
19,323,4,79,63,Full community,1.0
19,338,50,79,63,Full community,1.0
19,347,69,79,63,Full community,1.0
19,348,28,79,63,Full community,1.0
19,367,11,79,63,Full community,1.0
19,374,54,79,63,Full community,1.0
19,391,55,79,63,Full community,1.0
19,405,58,79,63,Full community,1.0
19,406,79,79,63,Full community,1.0
19,426,70,79,63,Full community,1.0
19,446,67,79,63,Full community,1.0
19,448,9,79,63,Full community,1.0
19,458,7,79,63,Full community,1.0
19,475,39,79,63,Full community,1.0
19,496,61,79,63,Full community,1.0
19,509,41,79,63,Full community,1.0
19,520,45,79,63,Full community,1.0
19,529,23,79,63,Full community,1.0
19,557,27,79,63,Full community,1.0
19,570,62,79,63,Full community,1.0
19,580,51,79,63,Full community,1.0
19,587,20,79,63,Full community,1.0
19,613,26,79,63,Full community,1.0
19,619,22,79,63,Full community,1.0
19,639,32,79,63,Full community,1.0
19,645,5,79,63,Full community,1.0
19,669,65,79,63,Full community,1.0
19,678,29,79,63,Full community,1.0
19,680,30,79,63,Full community,1.0
19,689,48,79,63,Full community,1.0
19,691,73,79,63,Full community,1.0
19,706,17,79,63,Full community,1.0
19,714,33,79,63,Full community,1.0
19,736,12,79,63,Full community,1.0
19,745,34,79,63,Full community,1.0
19,763,31,79,63,Full community,1.0
19,770,68,79,63,Full community,1.0
19,778,36,79,63,Full community,1.0
19,831,8,79,63,Full community,1.0
19,837,57,79,63,Full community,1.0
19,840,56,79,63,Full community,1.0
19,855,40,79,63,Full community,1.0
19,868,60,79,63,Full community,1.0
19,883,78,79,63,Full community,1.0
19,884,2,79,63,Full community,1.0
19,885,64,79,63,Full community,1.0
19,909,44,79,63,Full community,1.0
19,924,1,79,63,Full community,1.0
19,953,37,79,63,Full community,1.0
19,959,71,79,63,Full community,1.0
19,997,77,79,63,Full community,1.0
20,13,41,102,39,Full community,1.0
20,23,5,102,39,Full community,1.0
20,31,101,102,39,Full community,1.0
20,35,92,102,39,Full community,1.0
20,51,43,102,39,Full community,1.0
20,74,20,102,39,Full community,1.0
20,75,35,102,39,Full community,1.0
20,85,63,102,39,Full community,1.0
20,92,91,102,39,Full community,1.0
20,114,9,102,39,Full community,1.0
20,122,70,102,39,Full community,1.0
20,123,89,102,39,Full community,1.0
20,124,69,102,39,Full community,1.0
20,128,15,102,39,Full community,1.0
20,153,10,102,39,Full community,1.0
20,161,93,102,39,Full community,1.0
20,170,97,102,39,Full community,1.0
20,186,34,102,39,Full community,1.0
20,190,14,102,39,Full community,1.0
20,208,25,102,39,Full community,1.0
20,211,18,102,39,Full community,1.0
20,215,77,102,39,Full community,1.0
20,217,99,102,39,Full community,1.0
20,221,44,102,39,Full community,1.0
20,229,71,102,39,Full community,1.0
20,272,88,102,39,Full community,1.0
20,279,8,102,39,Full community,1.0
20,283,73,102,39,Full community,1.0
20,293,72,102,39,Full community,1.0
20,297,33,102,39,Full community,1.0
20,330,53,102,39,Full community,1.0
20,332,45,102,39,Full community,1.0
20,344,54,102,39,Full community,1.0
20,352,95,102,39,Full community,1.0
20,354,48,102,39,Full community,1.0
20,358,74,102,39,Full community,1.0
20,368,26,102,39,Full community,1.0
20,369,86,102,39,Full community,1.0
20,380,80,102,39,Full community,1.0
20,386,21,102,39,Full community,1.0
20,409,50,102,39,Full community,1.0
20,417,24,102,39,Full community,1.0
20,418,51,102,39,Full community,1.0
20,426,3,102,39,Full community,1.0
20,427,90,102,39,Full community,1.0
20,429,83,102,39,Full community,1.0
20,441,100,102,39,Full community,1.0
20,442,81,102,39,Full community,1.0
20,451,94,102,39,Full community,1.0
20,458,23,102,39,Full community,1.0
20,462,7,102,39,Full community,1.0
20,469,42,102,39,Full community,1.0
20,475,52,102,39,Full community,1.0
20,477,49,102,39,Full community,1.0
20,484,1,102,39,Full community,1.0
20,492,2,102,39,Full community,1.0
20,493,12,102,39,Full community,1.0
20,494,22,102,39,Full community,1.0
20,514,11,102,39,Full community,1.0
20,515,32,102,39,Full community,1.0
20,520,30,102,39,Full community,1.0
20,524,61,102,39,Full community,1.0
20,525,98,102,39,Full community,1.0
20,539,79,102,39,Full community,1.0
20,545,78,102,39,Full community,1.0
20,568,37,102,39,Full community,1.0
20,589,39,102,39,Full community,1.0
20,590,102,102,39,Full community,1.0
20,593,17,102,39,Full community,1.0
20,604,6,102,39,Full community,1.0
20,640,64,102,39,Full community,1.0
20,644,57,102,39,Full community,1.0
20,646,56,102,39,Full community,1.0
20,656,27,102,39,Full community,1.0
20,658,31,102,39,Full community,1.0
20,670,47,102,39,Full community,1.0
20,674,58,102,39,Full community,1.0
20,712,16,102,39,Full community,1.0
20,730,67,102,39,Full community,1.0
20,756,4,102,39,Full community,1.0
20,778,19,102,39,Full community,1.0
20,781,55,102,39,Full community,1.0
20,811,46,102,39,Full community,1.0
20,818,59,102,39,Full community,1.0
20,825,60,102,39,Full community,1.0
20,838,13,102,39,Full community,1.0
20,847,66,102,39,Full community,1.0
20,857,68,102,39,Full community,1.0
20,868,65,102,39,Full community,1.0
20,875,40,102,39,Full community,1.0
20,896,28,102,39,Full community,1.0
20,923,75,102,39,Full community,1.0
20,940,29,102,39,Full community,1.0
20,941,82,102,39,Full community,1.0
20,950,85,102,39,Full community,1.0
20,954,38,102,39,Full community,1.0
20,972,84,102,39,Full community,1.0
20,975,87,102,39,Full community,1.0
20,980,62,102,39,Full community,1.0
20,987,76,102,39,Full community,1.0
20,993,96,102,39,Full community,1.0
20,995,36,102,39,Full community,1.0
23,23,52,53,25,Full community,1.0
23,63,8,53,25,Full community,1.0
23,74,29,53,25,Full community,1.0
23,77,28,53,25,Full community,1.0
23,93,11,53,25,Full community,1.0
23,130,47,53,25,Full community,1.0
23,135,33,53,25,Full community,1.0
23,152,2,53,25,Full community,1.0
23,159,18,53,25,Full community,1.0
23,166,1,53,25,Full community,1.0
23,173,41,53,25,Full community,1.0
23,187,50,53,25,Full community,1.0
23,195,26,53,25,Full community,1.0
23,204,30,53,25,Full community,1.0
23,208,48,53,25,Full community,1.0
23,210,5,53,25,Full community,1.0
23,256,31,53,25,Full community,1.0
23,260,15,53,25,Full community,1.0
23,305,40,53,25,Full community,1.0
23,309,42,53,25,Full community,1.0
23,318,39,53,25,Full community,1.0
23,334,27,53,25,Full community,1.0
23,356,13,53,25,Full community,1.0
23,367,46,53,25,Full community,1.0
23,442,22,53,25,Full community,1.0
23,447,37,53,25,Full community,1.0
23,457,3,53,25,Full community,1.0
23,532,44,53,25,Full community,1.0
23,555,23,53,25,Full community,1.0
23,575,24,53,25,Full community,1.0
23,585,16,53,25,Full community,1.0
23,604,14,53,25,Full community,1.0
23,617,17,53,25,Full community,1.0
23,640,43,53,25,Full community,1.0
23,642,10,53,25,Full community,1.0
23,664,25,53,25,Full community,1.0
23,666,32,53,25,Full community,1.0
23,684,53,53,25,Full community,1.0
23,687,4,53,25,Full community,1.0
23,691,35,53,25,Full community,1.0
23,702,19,53,25,Full community,1.0
23,740,12,53,25,Full community,1.0
23,759,6,53,25,Full community,1.0
23,779,9,53,25,Full community,1.0
23,798,21,53,25,Full community,1.0
23,801,7,53,25,Full community,1.0
23,804,51,53,25,Full community,1.0
23,810,45,53,25,Full community,1.0
23,834,20,53,25,Full community,1.0
23,849,36,53,25,Full community,1.0
23,886,38,53,25,Full community,1.0
23,897,49,53,25,Full community,1.0
23,986,34,53,25,Full community,1.0
24,24,3,46,19,Full community,0.0
24,32,32,46,19,Full community,0.0
24,40,44,46,19,Full community,0.0
24,44,31,46,19,Full community,0.0
24,67,7,46,19,Full community,0.0
24,71,14,46,19,Full community,0.0
24,95,1,46,19,Full community,0.0
24,103,45,46,19,Full community,0.0
24,107,12,46,19,Full community,0.0
24,123,39,46,19,Full community,0.0
24,168,46,46,19,Full community,0.0
24,186,13,46,19,Full community,0.0
24,228,38,46,19,Full community,0.0
24,232,28,46,19,Full community,0.0
24,242,29,46,19,Full community,0.0
24,276,15,46,19,Full community,0.0
24,320,43,46,19,Full community,0.0
24,352,22,46,19,Full community,0.0
24,354,24,46,19,Full community,0.0
24,369,8,46,19,Full community,0.0
24,370,35,46,19,Full community,0.0
24,387,11,46,19,Full community,0.0
24,413,27,46,19,Full community,0.0
24,423,19,46,19,Full community,0.0
24,459,17,46,19,Full community,0.0
24,464,23,46,19,Full community,0.0
24,499,40,46,19,Full community,0.0
24,548,20,46,19,Full community,0.0
24,557,18,46,19,Full community,0.0
24,560,26,46,19,Full community,0.0
24,564,6,46,19,Full community,0.0
24,649,30,46,19,Full community,0.0
24,657,16,46,19,Full community,0.0
24,664,2,46,19,Full community,0.0
24,684,36,46,19,Full community,0.0
24,729,37,46,19,Full community,0.0
24,735,4,46,19,Full community,0.0
24,749,42,46,19,Full community,0.0
24,751,5,46,19,Full community,0.0
24,792,41,46,19,Full community,0.0
24,798,9,46,19,Full community,0.0
24,825,10,46,19,Full community,0.0
24,831,33,46,19,Full community,0.0
24,853,21,46,19,Full community,0.0
24,951,34,46,19,Full community,0.0
24,967,25,46,19,Full community,0.0
25,56,39,79,27,Full community,1.0
25,73,1,79,27,Full community,1.0
25,100,28,79,27,Full community,1.0
25,106,29,79,27,Full community,1.0
25,128,6,79,27,Full community,1.0
25,153,46,79,27,Full community,1.0
25,166,9,79,27,Full community,1.0
25,173,3,79,27,Full community,1.0
25,182,66,79,27,Full community,1.0
25,199,47,79,27,Full community,1.0
25,200,25,79,27,Full community,1.0
25,206,71,79,27,Full community,1.0
25,229,72,79,27,Full community,1.0
25,235,32,79,27,Full community,1.0
25,275,11,79,27,Full community,1.0
25,279,54,79,27,Full community,1.0
25,287,14,79,27,Full community,1.0
25,294,44,79,27,Full community,1.0
25,317,5,79,27,Full community,1.0
25,339,10,79,27,Full community,1.0
25,366,73,79,27,Full community,1.0
25,375,40,79,27,Full community,1.0
25,376,12,79,27,Full community,1.0
25,383,41,79,27,Full community,1.0
25,386,24,79,27,Full community,1.0
25,392,75,79,27,Full community,1.0
25,396,51,79,27,Full community,1.0
25,406,34,79,27,Full community,1.0
25,412,21,79,27,Full community,1.0
25,427,26,79,27,Full community,1.0
